NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
114,1,Pública Federal,Centro-Oeste,Mato Grosso,92.0,58.0,44.0,17.0,2.0,0.2719298245614035,0.4298245614035088,0.9385964912280702,0.20175438596491227,0.20175438596491227
149,2,Pública Federal,Centro-Oeste,Distrito Federal,39.0,32.0,27.0,32.0,8.0,2.778523489932886,4.167785234899329,3.704697986577181,1.8523489932885906,1.8523489932885906
116,3,Pública Federal,Nordeste,Sergipe,190.0,56.0,94.0,16.0,2.0,0.7758620689655172,1.2155172413793103,1.793103448275862,0.5344827586206896,0.5344827586206896
107,4,Pública Federal,Norte,Amazonas,64.0,33.0,54.0,60.0,2.0,0.0,0.0,0.719626168224299,0.0,0.0
100,5,Pública Federal,Nordeste,Piauí,137.0,50.0,73.0,36.0,3.0,4.2,5.88,5.88,2.52,2.52
55,6,Pública Federal,Sudeste,Minas Gerais,24.0,14.0,31.0,27.0,3.0,4.1454545454545455,5.5636363636363635,4.872727272727273,2.7636363636363637,2.7636363636363637
76,7,Pública Federal,Sudeste,São Paulo,0.0,19.0,5.0,0.0,0.0,1.5789473684210527,2.1052631578947367,1.8421052631578947,1.0526315789473684,1.0526315789473684
84,8,Pública Federal,Sudeste,Minas Gerais,18.0,6.0,15.0,4.0,1.0,2.0714285714285716,3.107142857142857,2.761904761904762,1.380952380952381,1.380952380952381
58,9,Pública Estadual,Sul,Paraná,18.0,6.0,15.0,13.0,0.0,2.7413793103448274,3.6724137931034484,2.293103448275862,1.8103448275862069,1.8103448275862069
115,10,Privada sem fins lucrativos,Sul,Paraná,3.0,23.0,43.0,87.0,1.0,2.1043478260869564,2.9391304347826086,2.634782608695652,1.3304347826086957,1.3304347826086957
33,11,Privada sem fins lucrativos,Nordeste,Pernambuco,0.0,2.0,0.0,1.0,0.0,0.5151515151515151,0.6666666666666666,0.6060606060606061,0.3333333333333333,0.3333333333333333
64,12,Pública Federal,Sul,Rio Grande do Sul,46.0,21.0,37.0,17.0,0.0,3.9375,5.90625,5.21875,2625,2625
163,13,Privada sem fins lucrativos,Sul,Rio Grande do Sul,10.0,15.0,10.0,4.0,1.0,0.9570552147239264,1.4355828220858895,1.2760736196319018,0.6380368098159509,0.6380368098159509
114,14,Privada sem fins lucrativos,Sul,Rio Grande do Sul,64.0,11.0,33.0,41.0,1.0,1.8421052631578947,3.6842105263157894,3.0789473684210527,1.2280701754385965,1.2280701754385965
35,15,Privada sem fins lucrativos,Sudeste,Rio de Janeiro,2.0,4.0,4.0,1.0,0.0,1.3714285714285714,1.3714285714285714,1.3714285714285714,0.9142857142857143,0.9142857142857143
108,17,Pública Federal,Sudeste,Minas Gerais,61.0,47.0,42.0,13.0,4.0,3.1666666666666665,3.175925925925926,3.5555555555555554,2.111111111111111,2.111111111111111
41,18,Privada sem fins lucrativos,Sul,Rio Grande do Sul,5.0,1.0,0.0,3.0,0.0,0.0,0.2926829268292683,0.43902439024390244,0.0,0.0
62,19,Privada sem fins lucrativos,Sudeste,São Paulo,3.0,4.0,3.0,23.0,0.0,1.7419354838709677,2.3225806451612905,2.032258064516129,1.1612903225806452,1.1612903225806452
89,20,Privada sem fins lucrativos,Sul,Rio Grande do Sul,13.0,12.0,16.0,20.0,0.0,2.4269662921348316,3.640449438202247,2.831460674157303,1.6179775280898876,1.6179775280898876
57,21,Privada sem fins lucrativos,Sul,Rio Grande do Sul,9.0,0.0,4.0,3.0,0.0,1.0526315789473684,1.2280701754385965,1.0526315789473684,0.7017543859649122,0.7017543859649122
53,22,Privada sem fins lucrativos,Sudeste,São Paulo,1.0,0.0,216.0,3.0,0.0,4.188679245283019,6.264150943396227,5.584905660377358,2.792452830188679,2.792452830188679
78,23,Privada sem fins lucrativos,Sul,Rio Grande do Sul,33.0,17.0,17.0,1.0,1.0,2.3076923076923075,3.076923076923077,2.6923076923076925,1.5384615384615385,1.5384615384615385
39,24,Pública Estadual,Nordeste,Bahia,3.0,0.0,3.0,2.0,0.0,0.7692307692307693,1.1538461538461537,1.0256410256410255,0.5128205128205128,0.5128205128205128
1,26,,,,,,,,,,,,,
33,27,Privada sem fins lucrativos,Sudeste,Minas Gerais,4.0,1.0,0.0,1.0,0.0,0.9090909090909091,1.2121212121212122,1.2121212121212122,0.6060606060606061,0.6060606060606061
83,29,Pública Estadual,Nordeste,Ceará,32.0,18.0,95.0,3.0,2.0,0.0,0.0,0.7108433734939759,0.0,0.0
32,30,Privada sem fins lucrativos,Sudeste,Minas Gerais,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09375,0.0,0.0
15,32,Pública Estadual,Nordeste,Alagoas,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,33,Pública Estadual,Sudeste,São Paulo,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,34,Pública Estadual,Sudeste,São Paulo,37.0,23.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,35,Pública Estadual,Sudeste,São Paulo,6.0,3.0,0.0,0.0,0.0,2.7142857142857144,2.7142857142857144,1.8571428571428572,1.8571428571428572,1.8571428571428572
5,36,Pública Estadual,Sudeste,São Paulo,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,37,Pública Estadual,Sudeste,São Paulo,1.0,0.0,5.0,4.0,0.0,0.8571428571428571,1.7142857142857142,1.2857142857142858,0.42857142857142855,0.42857142857142855
129,38,Pública Estadual,Norte,Pará,12.0,26.0,13.0,2.0,0.0,0.40310077519379844,0.40310077519379844,0.627906976744186,0.20155038759689922,0.20155038759689922
131,40,Pública Estadual,Nordeste,Bahia,17.0,13.0,30.0,11.0,2.0,0.030534351145038167,0.022900763358778626,0.2366412213740458,0.022900763358778626,0.022900763358778626
57,43,Pública Estadual,Sul,Santa Catarina,25.0,36.0,176.0,87.0,7.0,4.7368421052631575,6.298245614035087,5.5964912280701755,3.1578947368421053,3.1578947368421053
173,47,Pública Estadual,Centro-Oeste,Goiás,117.0,25.0,66.0,60.0,5.0,2.6358381502890174,3.8092485549132946,2.6647398843930636,1.9364161849710984,1.9364161849710984
88,54,Pública Estadual,Sudeste,São Paulo,4.0,7.0,9.0,0.0,0.0,0.3522727272727273,0.42045454545454547,0.5,0.29545454545454547,0.29545454545454547
296,55,Pública Estadual,Sudeste,São Paulo,12.0,8.0,10.0,23.0,0.0,0.48986486486486486,0.48986486486486486,0.3918918918918919,0.2939189189189189,0.2939189189189189
215,56,Pública Estadual,Sudeste,São Paulo,29.0,17.0,24.0,36.0,7.0,0.3674418604651163,0.3953488372093023,0.386046511627907,0.25116279069767444,0.25116279069767444
88,57,Pública Estadual,Sul,Paraná,30.0,25.0,332.0,6.0,1.0,5.454545454545454,8.181818181818182,7.2727272727272725,3.6363636363636362,3.6363636363636362
1,58,,,,,,,,,,,,,
1,59,Pública Municipal,Sudeste,São Paulo,3.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,2.0,2.0
16,60,Especial,Sudeste,São Paulo,1.0,1.0,0.0,1.0,0.0,0.75,0.75,0.8125,0.5,0.5
9,67,,,,,,,,,,,,,
8,68,,,,,,,,,,,,,
73,71,Pública Estadual,Nordeste,Rio Grande do Norte,94.0,19.0,49.0,11.0,4.0,3.9452054794520546,5.917808219178082,5.260273972602739,2.6301369863013697,2.6301369863013697
6,72,,,,,,,,,,,,,
9,73,Especial,Nordeste,Pernambuco,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
8,74,,,,,,,,,,,,,
54,76,Pública Municipal,Sul,Santa Catarina,12.0,11.0,12.0,3.0,3.0,3.0925925925925926,4.111111111111111,3.5925925925925926,2.0555555555555554,2.0555555555555554
6,78,,,,,,,,,,,,,
7,79,Pública Municipal,Sudeste,São Paulo,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0
26,80,Privada sem fins lucrativos,Sul,Santa Catarina,18.0,4.0,4.0,11.0,2.0,3.4615384615384617,4.615384615384615,4.038461538461538,2.3076923076923075,2.3076923076923075
59,81,Privada sem fins lucrativos,Sul,Santa Catarina,13.0,4.0,6.0,6.0,1.0,1.728813559322034,2.5084745762711864,2.0338983050847457,1.1694915254237288,1.1694915254237288
101,82,Privada sem fins lucrativos,Sul,Santa Catarina,34.0,18.0,22.0,49.0,1.0,3.207920792079208,4.811881188118812,4.2772277227722775,2.1386138613861387,2.1386138613861387
103,83,Privada sem fins lucrativos,Sul,Santa Catarina,36.0,21.0,27.0,29.0,0.0,2.679611650485437,4.019417475728155,3.5728155339805827,1.7864077669902914,1.7864077669902914
6,84,,,,,,,,,,,,,
