NUM_CURSOS,CODIGO_IES,DEFICIENCIA_FISICA,DEFICIENCIA_VISUAL,DEFICIENCIA_AUDITIVA,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA,CLASS
114,1,92.0,44.0,58.0,17.0,2.0,1.6754385964912282,2.1052631578947367,3.1842105263157894,1.0614035087719298,1.0614035087719298,2
149,2,39.0,27.0,32.0,32.0,8.0,5.23489932885906,7.852348993288591,6.97986577181208,3.48993288590604,3.48993288590604,2
116,3,190.0,94.0,56.0,16.0,2.0,4.206896551724138,6.077586206896552,8.681034482758621,2.896551724137931,2.896551724137931,0
107,4,64.0,54.0,33.0,60.0,2.0,0.0,0.0,1.9906542056074767,0.0,0.0,2
100,5,137.0,73.0,50.0,36.0,3.0,14.95,20.93,20.93,8.97,8.97,3
55,6,24.0,31.0,14.0,27.0,3.0,10.8,14.49090909090909,12.690909090909091,7.2,7.2,3
76,7,0.0,5.0,19.0,0.0,0.0,1.894736842105263,2.526315789473684,2.210526315789474,1.263157894736842,1.263157894736842,0
84,8,18.0,15.0,6.0,4.0,1.0,3.0,4.5,4.0,2.0,2.0,3
58,9,18.0,15.0,6.0,13.0,0.0,4.775862068965517,6.396551724137931,4.103448275862069,3.155172413793104,3.155172413793104,1
115,10,3.0,43.0,23.0,87.0,1.0,6.756521739130434,9.565217391304348,8.617391304347827,4.252173913043478,4.252173913043478,2
33,11,0.0,0.0,2.0,1.0,0.0,0.5151515151515151,0.6666666666666666,0.6060606060606061,0.3333333333333333,0.3333333333333333,1
64,12,46.0,37.0,21.0,17.0,0.0,11.25,16875.0,14.96875,7.5,7.5,1
163,13,10.0,10.0,15.0,4.0,1.0,1.361963190184049,2.042944785276074,1.8159509202453987,0.9079754601226994,0.9079754601226994,1
114,14,64.0,33.0,11.0,41.0,1.0,3.947368421052632,7.894736842105263,6.605263157894737,2.631578947368421,2.631578947368421,3
35,15,2.0,4.0,4.0,1.0,0.0,1.8857142857142857,1.8857142857142857,1.8857142857142857,1.2571428571428571,1.2571428571428571,1
108,17,61.0,42.0,47.0,13.0,4.0,9.055555555555555,9.101851851851851,10.175925925925926,6.037037037037037,6.037037037037037,0
41,18,5.0,0.0,1.0,3.0,0.0,0.0,0.4390243902439024,0.6585365853658537,0.0,0.0,1
62,19,3.0,3.0,4.0,23.0,0.0,3.193548387096774,4.258064516129032,3.725806451612903,2.129032258064516,2.129032258064516,0
89,20,13.0,16.0,12.0,20.0,0.0,4.112359550561798,6.168539325842697,4.797752808988764,2.741573033707865,2.741573033707865,1
57,21,9.0,4.0,0.0,3.0,0.0,1.5789473684210529,1.8421052631578947,1.5789473684210529,1.0526315789473684,1.0526315789473684,1
53,22,1.0,216.0,0.0,3.0,0.0,24.90566037735849,37.33962264150944,33.20754716981132,16.60377358490566,16.60377358490566,1
