,ANO_CENSO,CODIGO_CURSO,CODIGO_ALUNO_CURSO,RACA,GENERO,DATA_NASCIMENTO,CONCLUSÃO,ANO_INGRESSO,IDADE,TEMPO_CONCLUSÃO
22,2019,6.0,74005404.0,,,1979.0,2019,2016.0,42.0,4.0
34,2019,7.0,73973642.0,,,1977.0,2019,2015.0,44.0,5.0
152,2019,100775.0,73966504.0,,,1997.0,2019,2015.0,24.0,5.0
179,2019,116560.0,73961425.0,,,1991.0,2019,2016.0,30.0,4.0
239,2019,1103426.0,73966379.0,,,1969.0,2019,2012.0,52.0,8.0
244,2019,1103708.0,73998287.0,,,1974.0,2019,2016.0,47.0,4.0
278,2019,1205603.0,73964876.0,,,1986.0,2019,2015.0,35.0,5.0
372,2019,150.0,69692599.0,,,1998.0,2019,2016.0,23.0,4.0
377,2019,156.0,69676161.0,,,1996.0,2019,2014.0,25.0,6.0
394,2019,167.0,69644260.0,,,1994.0,2019,2012.0,27.0,8.0
416,2019,31384.0,69687113.0,,,1996.0,2019,2015.0,25.0,5.0
419,2019,33205.0,69653076.0,,,1996.0,2019,2014.0,25.0,6.0
425,2019,44366.0,69647652.0,,,1994.0,2019,2019.0,27.0,1.0
437,2019,112790.0,69682316.0,,,1997.0,2019,2015.0,24.0,5.0
456,2019,122212.0,69638330.0,,,1967.0,2019,2017.0,54.0,3.0
465,2019,300129.0,69647651.0,,,1994.0,2019,2013.0,27.0,7.0
466,2019,300129.0,69651694.0,,,1996.0,2019,2014.0,25.0,6.0
476,2019,1140050.0,69644926.0,,,1993.0,2019,2016.0,28.0,4.0
478,2019,1140050.0,69696996.0,,,1998.0,2019,2016.0,23.0,4.0
482,2019,1192414.0,69642985.0,,,1995.0,2019,2015.0,26.0,5.0
488,2019,1349598.0,69638782.0,,,1987.0,2019,2016.0,34.0,4.0
499,2019,1349598.0,69694661.0,,,1996.0,2019,2016.0,25.0,4.0
530,2019,294.0,13244251.0,,,1993.0,2019,2013.0,28.0,7.0
549,2019,302.0,12722609.0,,,1983.0,2019,2013.0,38.0,7.0
560,2019,303.0,13281583.0,,,1994.0,2019,2013.0,27.0,7.0
562,2019,303.0,13235205.0,,,1995.0,2019,2014.0,26.0,6.0
582,2019,304.0,38393109.0,,,1996.0,2019,2014.0,25.0,6.0
600,2019,308.0,13247310.0,,,1991.0,2019,2011.0,30.0,9.0
624,2019,311.0,38392860.0,,,1996.0,2019,2015.0,25.0,5.0
642,2019,317.0,16176631.0,,,1995.0,2019,2013.0,26.0,7.0
665,2019,327.0,54476300.0,,,1995.0,2019,2015.0,26.0,5.0
671,2019,328.0,38392997.0,,,1970.0,2019,2013.0,51.0,7.0
700,2019,20763.0,13273462.0,,,1993.0,2019,2019.0,28.0,1.0
701,2019,20764.0,54476142.0,,,1982.0,2019,2011.0,39.0,9.0
778,2019,95053.0,54476150.0,,,1995.0,2019,2015.0,26.0,5.0
782,2019,95057.0,12722729.0,,,1975.0,2019,2014.0,46.0,6.0
936,2019,1279838.0,54475996.0,,,1981.0,2019,2014.0,40.0,6.0
946,2019,1279838.0,38393301.0,,,1992.0,2019,2016.0,29.0,4.0
949,2019,1279838.0,38393539.0,,,1981.0,2019,2016.0,40.0,4.0
1011,2019,383.0,39063693.0,,,1997.0,2019,2015.0,24.0,5.0
