,TP_CATEGORIA_ADMINISTRATIVA,NO_CURSO,IN_AJUDA_DEFICIENTE,IN_MATERIAL_DIGITAL,IN_MATERIAL_AMPLIADO,IN_MATERIAL_TATIL,IN_MATERIAL_IMPRESSO,IN_MATERIAL_AUDIO,IN_MATERIAL_BRAILLE,IN_MATERIAL_LIBRAS,IN_DISCIPLINA_LIBRAS,IN_TRADUTOR_LIBRAS,IN_GUIA_INTERPRETE,IN_RECURSOS_COMUNICACAO,IN_RECURSOS_INFORMATICA,IN_INTEGRAL
0,1,DIREITO,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,CIÊNCIAS ECONÔMICAS,0,,,,,,,,,,,,,0.0
2,1,ENGENHARIA CIVIL,0,,,,,,,,,,,,,1.0
3,1,PEDAGOGIA,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,SERVIÇO SOCIAL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,1,CIÊNCIAS CONTÁBEIS,0,,,,,,,,,,,,,0.0
6,1,AGRONOMIA,0,,,,,,,,,,,,,1.0
7,1,ENGENHARIA FLORESTAL,0,,,,,,,,,,,,,1.0
8,1,MEDICINA,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
9,1,ADMINISTRAÇÃO,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10,1,GEOLOGIA,0,,,,,,,,,,,,,1.0
11,1,ENGENHARIA ELÉTRICA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,1,ENFERMAGEM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13,1,EDUCAÇÃO FÍSICA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,1,NUTRIÇÃO,0,,,,,,,,,,,,,1.0
15,1,CIÊNCIAS CONTÁBEIS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,1,PEDAGOGIA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,1,GEOGRAFIA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,1,HISTÓRIA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,1,MATEMÁTICA,0,,,,,,,,,,,,,1.0
20,1,FÍSICA,0,,,,,,,,,,,,,1.0
21,1,CIÊNCIAS BIOLÓGICAS,0,,,,,,,,,,,,,1.0
22,1,CIÊNCIAS BIOLÓGICAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,1,MATEMÁTICA,0,,,,,,,,,,,,,0.0
24,1,CIÊNCIA DA COMPUTAÇÃO,0,,,,,,,,,,,,,1.0
25,1,MEDICINA VETERINÁRIA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,1,ARQUITETURA E URBANISMO,0,,,,,,,,,,,,,1.0
27,1,MATEMÁTICA,0,,,,,,,,,,,,,0.0
28,1,FARMÁCIA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
29,1,LETRAS PORTUGUÊS E INGLÊS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,1,LETRAS - LÍNGUA PORTUGUESA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,1,LETRAS PORTUGUÊS E FRANCÊS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
32,1,LETRAS - PORTUGUÊS E LITERATURAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,1,LETRAS - LÍNGUA PORTUGUESA,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
34,1,LETRAS PORTUGUÊS E ESPANHOL E RESPECTIVAS LITERATURAS,0,,,,,,,,,,,,,0.0
35,1,COMUNICAÇÃO SOCIAL  - RADIALISMO,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
