,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
0,114,1,4,0,10,92.0,58.0,44.0,17.0,2.0,0.2719298245614035,0.4298245614035088,0.9385964912280702,0.20175438596491227,0.20175438596491227
1,149,2,4,0,6,39.0,32.0,27.0,32.0,8.0,2.7785234899328857,4.167785234899329,3.704697986577181,1.8523489932885904,1.8523489932885904
2,116,3,4,1,24,190.0,56.0,94.0,16.0,2.0,0.7758620689655172,1.2155172413793105,1.7931034482758617,0.5344827586206896,0.5344827586206896
3,107,4,4,2,3,64.0,33.0,54.0,60.0,2.0,0.0,0.0,0.7196261682242991,0.0,0.0
4,100,5,4,1,17,137.0,50.0,73.0,36.0,3.0,4.2,5.88,5.88,2.52,2.52
5,55,6,4,3,12,24.0,14.0,31.0,27.0,3.0,4.1454545454545455,5.5636363636363635,4.872727272727274,2.7636363636363646,2.7636363636363646
6,76,7,4,3,25,0.0,19.0,5.0,0.0,0.0,1.5789473684210529,2.1052631578947367,1.8421052631578947,1.0526315789473684,1.0526315789473684
7,84,8,4,3,12,18.0,6.0,15.0,4.0,1.0,2.0714285714285716,3.1071428571428568,2.761904761904762,1.380952380952381,1.380952380952381
8,58,9,3,4,13,18.0,6.0,15.0,13.0,0.0,2.7413793103448274,3.672413793103448,2.2931034482758617,1.8103448275862069,1.8103448275862069
9,115,10,2,4,13,3.0,23.0,43.0,87.0,1.0,2.1043478260869564,2.9391304347826086,2.634782608695652,1.3304347826086955,1.3304347826086955
10,33,11,2,1,16,0.0,2.0,0.0,1.0,0.0,0.5151515151515151,0.6666666666666666,0.6060606060606061,0.3333333333333333,0.3333333333333333
11,64,12,4,4,19,46.0,21.0,37.0,17.0,0.0,3.9375,5.90625,5.21875,2.625,2.625
12,163,13,2,4,19,10.0,15.0,10.0,4.0,1.0,0.9570552147239264,1.4355828220858895,1.2760736196319018,0.6380368098159509,0.6380368098159509
13,114,14,2,4,19,64.0,11.0,33.0,41.0,1.0,1.8421052631578947,3.6842105263157885,3.0789473684210527,1.2280701754385963,1.2280701754385963
14,35,15,2,3,20,2.0,4.0,4.0,1.0,0.0,1.3714285714285714,1.3714285714285714,1.3714285714285714,0.9142857142857144,0.9142857142857144
15,108,17,4,3,12,61.0,47.0,42.0,13.0,4.0,3.1666666666666665,3.1759259259259265,3.5555555555555562,2.1111111111111107,2.1111111111111107
16,41,18,2,4,19,5.0,1.0,0.0,3.0,0.0,0.0,0.2926829268292683,0.4390243902439024,0.0,0.0
17,62,19,2,3,25,3.0,4.0,3.0,23.0,0.0,1.7419354838709675,2.3225806451612905,2.032258064516129,1.1612903225806452,1.1612903225806452
18,89,20,2,4,19,13.0,12.0,16.0,20.0,0.0,2.426966292134832,3.640449438202247,2.831460674157303,1.6179775280898876,1.6179775280898876
