,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
0,114,1,Nacional,Centro-Oeste,Mato Grosso,92.0,58.0,44.0,17.0,2.0,0.2719298245614035,0.4298245614035088,0.9385964912280702,0.20175438596491227,0.20175438596491227
1,149,2,Nacional,Centro-Oeste,Distrito Federal,39.0,32.0,27.0,32.0,8.0,2.7785234899328857,4.167785234899329,3.704697986577181,1.8523489932885904,1.8523489932885904
2,116,3,Nacional,Nordeste,Sergipe,190.0,56.0,94.0,16.0,2.0,0.7758620689655172,1.2155172413793105,1.7931034482758617,0.5344827586206896,0.5344827586206896
3,107,4,Nacional,Norte,Amazonas,64.0,33.0,54.0,60.0,2.0,0.0,0.0,0.7196261682242991,0.0,0.0
4,100,5,Nacional,Nordeste,PiauÃ­,137.0,50.0,73.0,36.0,3.0,4.2,5.88,5.88,2.52,2.52
5,55,6,Nacional,Sudeste,Minas Gerais,24.0,14.0,31.0,27.0,3.0,4.1454545454545455,5.5636363636363635,4.872727272727274,2.763636363636365,2.763636363636365
6,76,7,Nacional,Sudeste,SÃ£o Paulo,0.0,19.0,5.0,0.0,0.0,1.5789473684210529,2.1052631578947367,1.8421052631578947,1.0526315789473684,1.0526315789473684
7,84,8,Nacional,Sudeste,Minas Gerais,18.0,6.0,15.0,4.0,1.0,2.0714285714285716,3.1071428571428568,2.761904761904762,1.380952380952381,1.380952380952381
8,58,9,Sub-Nacional,Sul,ParanÃ¡,18.0,6.0,15.0,13.0,0.0,2.7413793103448274,3.672413793103448,2.2931034482758617,1.8103448275862069,1.8103448275862069
11,64,12,Nacional,Sul,Rio Grande do Sul,46.0,21.0,37.0,17.0,0.0,3.9375,5.90625,5.21875,2.625,2.625
15,108,17,Nacional,Sudeste,Minas Gerais,61.0,47.0,42.0,13.0,4.0,3.1666666666666665,3.1759259259259265,3.5555555555555562,2.1111111111111107,2.1111111111111107
22,39,24,Sub-Nacional,Nordeste,Bahia,3.0,0.0,3.0,2.0,0.0,0.7692307692307693,1.1538461538461535,1.0256410256410255,0.5128205128205128,0.5128205128205128
25,83,29,Sub-Nacional,Nordeste,CearÃ¡,32.0,18.0,95.0,3.0,2.0,0.0,0.0,0.7108433734939759,0.0,0.0
27,15,32,Sub-Nacional,Nordeste,Alagoas,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
28,9,33,Sub-Nacional,Sudeste,SÃ£o Paulo,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16,34,Sub-Nacional,Sudeste,SÃ£o Paulo,37.0,23.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30,7,35,Sub-Nacional,Sudeste,SÃ£o Paulo,6.0,3.0,0.0,0.0,0.0,2.7142857142857144,2.7142857142857144,1.8571428571428568,1.8571428571428568,1.8571428571428568
31,5,36,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,7,37,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,5.0,4.0,0.0,0.8571428571428571,1.7142857142857142,1.2857142857142858,0.42857142857142855,0.42857142857142855
33,129,38,Sub-Nacional,Norte,ParÃ¡,12.0,26.0,13.0,2.0,0.0,0.4031007751937984,0.4031007751937984,0.627906976744186,0.2015503875968992,0.2015503875968992
34,131,40,Sub-Nacional,Nordeste,Bahia,17.0,13.0,30.0,11.0,2.0,0.03053435114503817,0.022900763358778626,0.2366412213740458,0.022900763358778626,0.022900763358778626
35,57,43,Sub-Nacional,Sul,Santa Catarina,25.0,36.0,176.0,87.0,7.0,4.7368421052631575,6.298245614035088,5.5964912280701755,3.1578947368421053,3.1578947368421053
36,173,47,Sub-Nacional,Centro-Oeste,GoiÃ¡s,117.0,25.0,66.0,60.0,5.0,2.6358381502890174,3.809248554913295,2.664739884393064,1.9364161849710984,1.9364161849710984
37,88,54,Sub-Nacional,Sudeste,SÃ£o Paulo,4.0,7.0,9.0,0.0,0.0,0.3522727272727273,0.4204545454545455,0.5,0.2954545454545455,0.2954545454545455
38,296,55,Sub-Nacional,Sudeste,SÃ£o Paulo,12.0,8.0,10.0,23.0,0.0,0.4898648648648649,0.4898648648648649,0.3918918918918919,0.2939189189189189,0.2939189189189189
39,215,56,Sub-Nacional,Sudeste,SÃ£o Paulo,29.0,17.0,24.0,36.0,7.0,0.3674418604651163,0.3953488372093023,0.386046511627907,0.25116279069767444,0.25116279069767444
40,88,57,Sub-Nacional,Sul,ParanÃ¡,30.0,25.0,332.0,6.0,1.0,5.454545454545454,8.181818181818182,7.2727272727272725,3.6363636363636362,3.6363636363636362
42,1,59,Sub-Nacional,Sudeste,SÃ£o Paulo,3.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,2.0,2.0
46,73,71,Sub-Nacional,Nordeste,Rio Grande do Norte,94.0,19.0,49.0,11.0,4.0,3.945205479452055,5.917808219178082,5.2602739726027385,2.6301369863013697,2.6301369863013697
50,54,76,Sub-Nacional,Sul,Santa Catarina,12.0,11.0,12.0,3.0,3.0,3.0925925925925934,4.111111111111111,3.5925925925925934,2.055555555555556,2.055555555555556
52,7,79,Sub-Nacional,Sudeste,SÃ£o Paulo,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0
60,2,94,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,26,95,Sub-Nacional,Nordeste,CearÃ¡,4.0,4.0,42.0,0.0,0.0,0.0,0.0,0.3461538461538461,0.0,0.0
63,54,107,Nacional,Sudeste,Minas Gerais,41.0,20.0,15.0,78.0,0.0,0.0,0.0,0.7037037037037037,0.0,0.0
172,66,367,Sub-Nacional,Sudeste,Minas Gerais,54.0,11.0,38.0,25.0,0.0,3.9090909090909087,5.863636363636362,4.318181818181818,2.606060606060606,2.606060606060606
193,64,409,Sub-Nacional,Nordeste,Pernambuco,0.0,8.0,0.0,8.0,1.0,0.171875,0.328125,0.3125,0.140625,0.140625
202,2,431,Sub-Nacional,Sudeste,SÃ£o Paulo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,88,547,Sub-Nacional,Sudeste,Rio de Janeiro,93.0,13.0,59.0,1.0,1.0,0.3068181818181818,0.3977272727272727,0.3181818181818182,0.19318181818181807,0.19318181818181807
266,116,548,Nacional,Nordeste,MaranhÃ£o,284.0,75.0,119.0,21.0,5.0,2.7413793103448274,3.146551724137931,3.810344827586207,1.4051724137931034,1.4051724137931034
267,53,549,Nacional,Norte,Acre,253.0,36.0,83.0,30.0,10.0,1.8113207547169807,1.8113207547169807,2.2264150943396226,1.0566037735849056,1.0566037735849056
268,60,550,Sub-Nacional,Nordeste,ParaÃ­ba,55.0,33.0,224.0,21.0,4.0,0.0,0.0,0.8833333333333333,0.0,0.0
271,200,568,Sub-Nacional,Nordeste,MaranhÃ£o,19.0,5.0,14.0,7.0,0.0,0.285,0.4,0.41,0.19,0.19
272,150,569,Nacional,Norte,ParÃ¡,223.0,33.0,81.0,67.0,10.0,2.453333333333333,4.086666666666667,2.8666666666666667,1.52,1.52
273,115,570,Nacional,Nordeste,Rio Grande do Norte,74.0,32.0,52.0,55.0,2.0,3.5478260869565217,5.321739130434783,4.730434782608696,2.365217391304348,2.365217391304348
274,178,571,Nacional,Sul,ParanÃ¡,19.0,27.0,6.0,13.0,17.0,1.5842696629213484,1.8483146067415728,1.8483146067415728,1.0561797752808988,1.0561797752808988
275,131,572,Nacional,Sudeste,Rio de Janeiro,131.0,50.0,36.0,8.0,5.0,0.0,0.0076335877862595426,0.11450381679389313,0.0,0.0
276,114,573,Nacional,Sudeste,EspÃ­rito Santo,111.0,35.0,96.0,28.0,10.0,0.0,0.0,0.6842105263157895,0.0,0.0
278,106,575,Nacional,Sudeste,Minas Gerais,67.0,28.0,45.0,24.0,0.0,3.5754716981132075,4.858490566037736,3.792452830188679,2.3867924528301887,2.3867924528301887
279,105,576,Nacional,Sudeste,Minas Gerais,73.0,35.0,34.0,14.0,0.0,3.1619047619047618,4.123809523809523,3.638095238095238,2.1238095238095243,2.1238095238095243
280,99,577,Nacional,Nordeste,Alagoas,75.0,69.0,351.0,73.0,15.0,1.5050505050505047,2.7777777777777777,2.6464646464646457,1.1212121212121209,1.1212121212121209
