,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
0,114,1,Pública Federal,Centro-Oeste,Mato Grosso,92.0,58.0,44.0,17.0,2.0,0.2719298245614035,0.4298245614035088,0.9385964912280702,0.20175438596491227,0.20175438596491227
1,149,2,Pública Federal,Centro-Oeste,Distrito Federal,39.0,32.0,27.0,32.0,8.0,2.7785234899328857,4.167785234899329,3.704697986577181,1.8523489932885904,1.8523489932885904
2,116,3,Pública Federal,Nordeste,Sergipe,190.0,56.0,94.0,16.0,2.0,0.7758620689655172,1.2155172413793105,1.7931034482758617,0.5344827586206896,0.5344827586206896
3,107,4,Pública Federal,Norte,Amazonas,64.0,33.0,54.0,60.0,2.0,0.0,0.0,0.7196261682242991,0.0,0.0
4,100,5,Pública Federal,Nordeste,Piauí,137.0,50.0,73.0,36.0,3.0,4.2,5.88,5.88,2.52,2.52
5,55,6,Pública Federal,Sudeste,Minas Gerais,24.0,14.0,31.0,27.0,3.0,4.1454545454545455,5.563636363636364,4.872727272727274,2.763636363636365,2.763636363636365
6,76,7,Pública Federal,Sudeste,São Paulo,0.0,19.0,5.0,0.0,0.0,1.5789473684210529,2.1052631578947367,1.8421052631578947,1.0526315789473684,1.0526315789473684
7,84,8,Pública Federal,Sudeste,Minas Gerais,18.0,6.0,15.0,4.0,1.0,2.071428571428572,3.1071428571428568,2.761904761904762,1.380952380952381,1.380952380952381
8,58,9,Pública Estadual,Sul,Paraná,18.0,6.0,15.0,13.0,0.0,2.7413793103448274,3.672413793103448,2.2931034482758617,1.8103448275862069,1.8103448275862069
11,64,12,Pública Federal,Sul,Rio Grande do Sul,46.0,21.0,37.0,17.0,0.0,3.9375,5.90625,5.21875,2.625,2.625
15,108,17,Pública Federal,Sudeste,Minas Gerais,61.0,47.0,42.0,13.0,4.0,3.1666666666666665,3.1759259259259265,3.555555555555556,2.1111111111111107,2.1111111111111107
22,39,24,Pública Estadual,Nordeste,Bahia,3.0,0.0,3.0,2.0,0.0,0.7692307692307693,1.1538461538461535,1.0256410256410255,0.5128205128205128,0.5128205128205128
25,83,29,Pública Estadual,Nordeste,Ceará,32.0,18.0,95.0,3.0,2.0,0.0,0.0,0.7108433734939759,0.0,0.0
27,15,32,Pública Estadual,Nordeste,Alagoas,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
28,9,33,Pública Estadual,Sudeste,São Paulo,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16,34,Pública Estadual,Sudeste,São Paulo,37.0,23.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30,7,35,Pública Estadual,Sudeste,São Paulo,6.0,3.0,0.0,0.0,0.0,2.7142857142857144,2.7142857142857144,1.8571428571428568,1.8571428571428568,1.8571428571428568
