CODIGO_IES;NOME_IES;SIGLA_IES;TIPO_CATEGORIA_ADM;TIPO_ORG_ACADEMICA;REGIAO;UF;CODIGO_MUNICIPIO
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;Universidade;Centro-Oeste;Mato Grosso;5103403
2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública Federal;Universidade;Centro-Oeste;Distrito Federal;5300108
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;Universidade;Nordeste;Sergipe;2806701
4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Pública Federal;Universidade;Norte;Amazonas;1302603
6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Pública Federal;Universidade;Sudeste;Minas Gerais;3146107
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;Universidade;Sul;Paraná;4106902
11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Privada sem fins lucrativos;Universidade;Nordeste;Pernambuco;2611606
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Privada sem fins lucrativos;Universidade;Sul;Rio Grande do Sul;4305108
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Privada sem fins lucrativos;Universidade;Sul;Rio Grande do Sul;4318705
18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Privada sem fins lucrativos;Universidade;Sul;Rio Grande do Sul;4314407
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Privada sem fins lucrativos;Universidade;Sudeste;São Paulo;3509502
20;UNIVERSIDADE DE PASSO FUNDO;UPF;Privada sem fins lucrativos;Universidade;Sul;Rio Grande do Sul;4314100
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Privada sem fins lucrativos;Universidade;Sul;Rio Grande do Sul;4314902
19229;FACULDADE PRESBITERIANA MACKENZIE BRASILIA;FPMB;Privada sem fins lucrativos;Faculdade;Centro-Oeste;Distrito Federal;5300108
353;FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ;FEMPAR;Privada sem fins lucrativos;Faculdade;Sul;Paraná;4106902
22;UNIVERSIDADE PRESBITERIANA MACKENZIE;MACKENZIE;Privada sem fins lucrativos;Universidade;Sudeste;São Paulo;3550308
195;FACULDADE PRESBITERIANA MACKENZIE RIO;;Privada sem fins lucrativos;Faculdade;Sudeste;Rio de Janeiro;3304557
23;UNIVERSIDADE FEEVALE;FEEVALE;Privada sem fins lucrativos;Universidade;Sul;Rio Grande do Sul;4313409
