CO_UF,CO_MUNICIPIO,IN_CAPITAL,CO_CURSO,IN_AJUDA_DEFICIENTE,IN_MATERIAL_DIGITAL,IN_MATERIAL_AMPLIADO,IN_MATERIAL_TATIL,IN_MATERIAL_IMPRESSO,IN_MATERIAL_AUDIO,IN_MATERIAL_BRAILLE,IN_MATERIAL_LIBRAS,IN_DISCIPLINA_LIBRAS,IN_TRADUTOR_LIBRAS,IN_GUIA_INTERPRETE,IN_RECURSOS_COMUNICACAO,IN_RECURSOS_INFORMATICA,,,
51,5103403,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,2,0,,,,,,,,,,,,,,,
51,5103403,1,3,0,,,,,,,,,,,,,,,
51,5103403,1,6,1,1,1,1,0,1,0,0,1,1,1,1,1,,,
51,5103403,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,8,0,,,,,,,,,,,,,,,
51,5103403,1,9,0,,,,,,,,,,,,,,,
51,5103403,1,10,0,,,,,,,,,,,,,,,
51,5103403,1,12,1,1,1,1,0,1,0,1,1,0,0,1,1,,,
51,5103403,1,13,1,0,1,0,1,0,0,0,1,0,0,0,1,,,
51,5103403,1,15,0,,,,,,,,,,,,,,,
51,5103403,1,16,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,17,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,19,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,20,0,,,,,,,,,,,,,,,
51,5107602,0,21,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,23,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,24,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,25,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,26,0,,,,,,,,,,,,,,,
51,5103403,1,27,0,,,,,,,,,,,,,,,
51,5103403,1,29,0,,,,,,,,,,,,,,,
51,5107602,0,32,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,34,0,,,,,,,,,,,,,,,
51,5103403,1,36,0,,,,,,,,,,,,,,,
51,5103403,1,37,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,44,0,,,,,,,,,,,,,,,
51,5106653,0,18354,0,,,,,,,,,,,,,,,
51,5106653,0,21442,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
51,5103403,1,22118,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,22837,1,0,1,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,25902,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
51,5103403,1,25903,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5101803,0,25949,1,0,0,0,1,0,0,1,1,1,0,0,0,,,
51,5103403,1,26025,0,,,,,,,,,,,,,,,
51,5103403,1,31373,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,41673,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
51,5107602,0,41687,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
51,5106653,0,41690,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,62906,1,1,0,0,1,0,0,0,1,1,1,0,0,,,
51,5103403,1,62936,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,62940,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,84854,0,,,,,,,,,,,,,,,
51,5103403,1,94331,1,0,0,0,0,0,1,0,0,1,0,0,0,,,
51,5107909,0,100763,1,1,0,0,0,0,0,0,1,1,1,0,0,,,
51,5107909,0,100768,0,,,,,,,,,,,,,,,
51,5107909,0,100770,1,0,0,0,0,0,0,0,1,1,1,0,0,,,
51,5107909,0,100772,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107909,0,100775,1,0,1,0,0,0,0,0,1,1,0,0,0,,,
51,5107909,0,100776,1,0,0,0,0,0,0,0,1,1,0,1,0,,,
51,5107909,0,100777,1,0,1,0,0,0,0,0,1,1,1,1,0,,,
51,5107909,0,100778,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,100800,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,100802,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,100804,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5106653,0,100920,1,0,0,0,0,0,0,0,1,1,1,0,0,,,
51,5106653,0,100928,0,,,,,,,,,,,,,,,
51,5107602,0,101054,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
51,5106653,0,101184,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
,,,105652,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
51,5106653,0,106050,1,1,0,0,0,0,0,0,1,1,1,0,0,,,
51,5106653,0,106052,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
51,5103403,1,112770,0,,,,,,,,,,,,,,,
51,5101803,0,112846,0,,,,,,,,,,,,,,,
,,,114386,1,1,0,0,1,0,0,1,1,0,0,0,0,,,
51,5103403,1,116550,0,,,,,,,,,,,,,,,
51,5103403,1,116560,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5101803,0,116648,1,0,0,0,0,0,0,0,1,1,1,0,0,,,
51,5101803,0,116662,0,,,,,,,,,,,,,,,
51,5101803,0,116690,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
51,5101803,0,116708,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
51,5107909,0,116720,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107909,0,116736,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
51,5103403,1,117004,1,0,1,0,1,0,0,0,1,0,0,0,0,,,
51,5103403,1,118002,0,,,,,,,,,,,,,,,
51,5103403,1,123007,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,123011,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,123013,0,,,,,,,,,,,,,,,
51,5107602,0,123052,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5101803,0,123055,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5101803,0,123427,1,0,1,0,0,0,0,0,1,1,1,0,0,,,
51,5103403,1,123620,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,1103426,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,1103701,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5103403,1,1103708,0,,,,,,,,,,,,,,,
51,5103403,1,1103709,0,,,,,,,,,,,,,,,
51,5103403,1,1103710,0,,,,,,,,,,,,,,,
51,5103403,1,1103711,0,,,,,,,,,,,,,,,
51,5103403,1,1103712,0,,,,,,,,,,,,,,,
51,5103403,1,1103742,0,,,,,,,,,,,,,,,
,,,1113617,1,1,1,0,1,1,0,0,0,0,0,0,0,,,
51,5107602,0,1127343,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
51,5107602,0,1128077,0,,,,,,,,,,,,,,,
51,5103403,1,1168551,0,,,,,,,,,,,,,,,
51,5107602,0,1188880,0,,,,,,,,,,,,,,,
51,5103403,1,1202779,0,,,,,,,,,,,,,,,
51,5103403,1,1202829,0,,,,,,,,,,,,,,,
51,5103403,1,1202855,0,,,,,,,,,,,,,,,
,,,1202871,1,1,0,0,1,1,0,0,1,0,0,0,0,,,
51,5103403,1,1203359,0,,,,,,,,,,,,,,,
51,5103403,1,1203399,0,,,,,,,,,,,,,,,
51,5103403,1,1204146,0,,,,,,,,,,,,,,,
51,5103403,1,1205603,1,0,0,0,0,0,0,0,1,1,0,1,0,,,
51,5107602,0,1261971,0,,,,,,,,,,,,,,,
51,5107909,0,1261972,1,0,1,0,0,0,0,0,1,1,1,1,0,,,
51,5108402,0,1270010,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
51,5108402,0,1270017,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
51,5108402,0,1270037,0,,,,,,,,,,,,,,,
51,5108402,0,1270057,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
51,5108402,0,1270062,0,,,,,,,,,,,,,,,
51,5103403,1,1285517,0,,,,,,,,,,,,,,,
,,,1357965,1,1,1,0,1,0,0,0,1,0,0,0,0,,,
51,5103403,1,1420159,0,,,,,,,,,,,,,,,
,,,1425400,1,0,1,0,0,0,1,0,1,0,0,0,1,,,
53,5300108,1,116,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,119,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,126,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,127,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,128,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,132,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,133,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,135,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,136,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,137,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,138,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,139,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,140,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,141,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,142,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,143,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,144,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,145,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,146,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,148,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,149,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,150,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,151,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,156,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,157,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,158,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,159,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,160,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,161,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,162,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,163,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,164,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,165,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,166,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,167,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,18030,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,18031,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,18032,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,18033,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,20551,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,22122,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,22844,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,22851,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,26030,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,26033,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,26035,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,26039,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,26040,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,26978,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,27858,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,29692,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,29693,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,29694,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,31376,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,31378,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,31381,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,31384,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,33204,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,33205,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,33206,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,33209,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,34642,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,34644,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,34983,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,34992,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44362,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44364,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44365,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44366,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44369,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44372,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44376,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44377,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44382,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44418,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,52159,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,70638,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,85124,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,92262,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,92267,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,101550,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112158,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112160,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112162,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112164,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112166,1,1,0,1,1,0,1,1,1,1,1,0,1,,,
,,,112170,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112176,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112790,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112792,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112794,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112796,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
