RACA,IDADE,CODIGO_INEP,PAIS_DE_ORIGEM,GENERO,ID_IES
Parda,32,BD8D4626244A839A308F0AA4240CE43F,Brasil,Masculino,12286
Parda,39,5EF5CD63C43D9B59200FDFCD2E1ACE36,Brasil,Feminino,12286
Parda,43,2E56350182EF8B7FFF2C114F0B52B7DD,Brasil,Masculino,12286
Parda,37,70F6C562984F1CC4EB1A287A8EC1AF9F,Brasil,Feminino,12286
Parda,29,C6DDD99D39270AB04FE9382687D38C31,Brasil,Masculino,12286
Branca,33,858BBEB67B4F70BE42F9A85BF4191ADF,Brasil,Masculino,12286
Parda,24,EEF41C0C801A4331C0BA79B58703F4AA,Brasil,Feminino,12286
Parda,37,6A81971712E3927417638C689F1BAD97,Brasil,Masculino,12286
Parda,50,27DB7DF6600494DF601FFFE5C8587C75,Brasil,Feminino,12286
Preta,51,7ABB11B603AF823DD0618DD2AD7739F0,Brasil,Masculino,12286
Branca,23,95FE847C1B1FC2D1EA36004C6840013C,Brasil,Masculino,12286
Branca,54,521338D4B33E9F3B1A0F402755A12BAA,Brasil,Masculino,12286
Branca,53,14592010541864E4C0463F6DFF55336D,Brasil,Feminino,12286
Parda,22,07A80E4E23B0C518697E9E019DD7722E,Brasil,Masculino,12286
Preta,32,E6B5F85FFB95AC30EE8C9B82E3E2E97B,Brasil,Masculino,12286
Parda,26,1A489741BFEB6D74292FB28BEAA6C08C,Brasil,Masculino,12286
Parda,22,26D1DE053326A8D12ED5EE6098323557,Brasil,Masculino,12286
Parda,20,0BEFBE6201B30F2EEDE4F7EB42DEDD3B,Brasil,Feminino,12286
Preta,30,5558BD19FE6D68D8E43FBA8C3C9946DB,Brasil,Feminino,12286
Branca,30,1CFC2970AE1E390022C8430571DEBF04,Brasil,Feminino,12286
Branca,40,917B9696BD055D951C1328D1DBC5D4F2,Brasil,Masculino,12286
Preta,25,ED209E1C20026D019A79F3B35B6FB878,Brasil,Feminino,12286
Parda,42,A3216E5CB8CC930B0146388A24439325,Brasil,Feminino,12286
Parda,51,E7365F62C0E6DE8261CD2D24EDCE8B71,Brasil,Feminino,12286
Parda,33,0A9BA1B0519221280DB154CD4D8D4F94,Brasil,Masculino,12286
Parda,23,C61EDC737865A4BDA7EA3C20D0AF49A0,Brasil,Feminino,12286
Branca,25,E86AB05E48795126ADD9C153E944BCD5,Brasil,Feminino,12286
Parda,22,4FC14842A36C18209A08505DA5B80143,Brasil,Feminino,12286
Branca,43,9A8ADCAA410341CA9A9DAE5D94E3C3FC,Brasil,Feminino,12286
Parda,22,9292BD460F5BB08D3EF018DC5382EF5B,Brasil,Feminino,12286
Parda,35,A38EF1C930432B3E2084075C70514299,Brasil,Feminino,12286
Parda,35,FF8FE2C29DCA575DE4E64E3D5FB2E79C,Brasil,Feminino,12286
Parda,72,2887113E998C17D0D8BA209EDCF447B1,Brasil,Masculino,12286
Branca,37,B3315199F2106956763D84751D4D3F93,Brasil,Feminino,12286
Indígena,44,6D0549E93B7F71C76F9E8A41CB29A057,Brasil,Feminino,12286
Branca,39,58788E4C68F0B7D80B67F5486927105C,Brasil,Feminino,12286
Parda,21,D053F21DDDFDB6262B91001D0C940FD6,Brasil,Feminino,12286
Parda,20,5B7B0FD8FF4C59BC0E4D11BF3EE588FB,Brasil,Feminino,12286
Parda,32,C5824970705A51670F921882CD905E0E,Brasil,Feminino,12286
Parda,38,0EB6DF7900B2E899389057E8C65A59AE,Brasil,Masculino,12286
Parda,31,22304DC6E9520E47E567F6E0470046B8,Brasil,Masculino,12286
Branca,21,518A800E243D4395B8F05D0DF10ADE5D,Brasil,Feminino,12286
Branca,29,E86D9EBA2C598A2C7C07EAD66A2C5699,Brasil,Feminino,12286
Parda,37,01D837DD8350E78FCEF4AC824D1E889D,Brasil,Masculino,12286
Branca,21,0F8EC1DCE968E73ED007BDEF93DEFDC5,Brasil,Masculino,12286
Branca,23,3F64309A438DD5F680CA00875D9EC301,Brasil,Masculino,12286
Preta,20,C81816208718320469175B0107DEE1FE,Brasil,Feminino,12286
Branca,22,121D8F720EE4079FC44AA303809A6F3F,Brasil,Feminino,12286
Preta,39,5021BB1EBC895A48D59143A0EFE433BC,Brasil,Feminino,12286
Parda,33,9F51267140EAC40A62BE0B42CD340647,Brasil,Feminino,12286
Parda,29,77AE5D175C07D7D12F048DA403534CDD,Brasil,Masculino,12286
Branca,33,AD749EC9981761C0328C12E444B368AE,Brasil,Masculino,12286
