id_ies,cod,nome,categoria,sigla,tipo_organizacao
1,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO","Pública Federal",UFMT,Universidade
2,2,"UNIVERSIDADE DE BRASÍLIA","Pública Federal",UNB,Universidade
3,3,"UNIVERSIDADE FEDERAL DE SERGIPE","Pública Federal",UFS,Universidade
4,4,"UNIVERSIDADE FEDERAL DO AMAZONAS","Pública Federal",UFAM,Universidade
5,6,"UNIVERSIDADE FEDERAL DE OURO PRETO","Pública Federal",UFOP,Universidade
6,10,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ","Privada sem fins lucrativos",PUCPR,Universidade
7,11,"UNIVERSIDADE CATÓLICA DE PERNAMBUCO","Privada sem fins lucrativos",UNICAP,Universidade
8,13,"UNIVERSIDADE DE CAXIAS DO SUL","Privada sem fins lucrativos",UCS,Universidade
9,14,"UNIVERSIDADE DO VALE DO RIO DOS SINOS","Privada sem fins lucrativos",UNISINOS,Universidade
10,18,"UNIVERSIDADE CATÓLICA DE PELOTAS","Privada sem fins lucrativos",UCPEL,Universidade
11,19,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS","Privada sem fins lucrativos",PUC-CAMPINAS,Universidade
12,20,"UNIVERSIDADE DE PASSO FUNDO","Privada sem fins lucrativos",UPF,Universidade
13,21,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL","Privada sem fins lucrativos",PUCRS,Universidade
14,19229,"FACULDADE PRESBITERIANA MACKENZIE BRASILIA","Privada sem fins lucrativos",FPMB,Faculdade
15,353,"FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ","Privada sem fins lucrativos",FEMPAR,Faculdade
16,22,"UNIVERSIDADE PRESBITERIANA MACKENZIE","Privada sem fins lucrativos",MACKENZIE,Universidade
17,195,"FACULDADE PRESBITERIANA MACKENZIE RIO","Privada sem fins lucrativos",,Faculdade
18,23,"UNIVERSIDADE FEEVALE","Privada sem fins lucrativos",FEEVALE,Universidade
19,24,"UNIVERSIDADE ESTADUAL DE SANTA CRUZ","Pública Estadual",UESC,Universidade
20,26,"ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS","Pública Federal",ENCE,Faculdade
21,27,"UNIVERSIDADE VALE DO RIO VERDE","Privada sem fins lucrativos",UNINCOR,Universidade
22,29,"UNIVERSIDADE ESTADUAL DO CEARÁ","Pública Estadual",UECE,Universidade
23,30,"UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO","Privada sem fins lucrativos",UNIFENAS,Universidade
24,32,"UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL","Pública Estadual",UNCISAL,Universidade
25,18817,"Faculdade de Tecnologia de Sao Roque","Pública Estadual",FATEC-SR,Faculdade
26,4024,"FACULDADE DE TECNOLOGIA DE MOCOCA","Pública Estadual",FATEC,Faculdade
27,18049,"Faculdade de Tecnologia de Taubaté","Pública Estadual","FATEC TAUBATÉ",Faculdade
28,19501,"Faculdade de Tecnologia Sebrae","Pública Estadual","FATEC SEBRAE",Faculdade
