ID;NOME_CURSO;CONCLUINTES;MATRICULADOS;CODIGO_CURSO;MODALIDADE_ENSINO;DISCIPLINA_INCLUSIVA;id_ies;CODIGO_IES
1;DIREITO;0.0;8.0;1;Presencial;Libras;1;1
2;CIÊNCIAS ECONÔMICAS;0.0;2.0;2;Presencial;0;1;1
3;ENGENHARIA CIVIL;0.0;2.0;3;Presencial;0;1;1
4;PEDAGOGIA;1.0;9.0;6;Presencial;Libras;1;1
5;SERVIÇO SOCIAL;1.0;5.0;7;Presencial;Libras;1;1
6;CIÊNCIAS CONTÁBEIS;0.0;2.0;8;Presencial;0;1;1
7;AGRONOMIA;0.0;3.0;9;Presencial;0;1;1
8;ENGENHARIA FLORESTAL;0.0;2.0;10;Presencial;0;1;1
9;MEDICINA;0.0;12.0;12;Presencial;Libras;1;1
10;ADMINISTRAÇÃO;0.0;3.0;13;Presencial;Libras;1;1
11;GEOLOGIA;0.0;0.0;15;Presencial;0;1;1
12;ENGENHARIA ELÉTRICA;0.0;5.0;16;Presencial;Libras;1;1
13;ENFERMAGEM;0.0;1.0;17;Presencial;Libras;1;1
14;EDUCAÇÃO FÍSICA;0.0;1.0;19;Presencial;Libras;1;1
15;NUTRIÇÃO;0.0;2.0;20;Presencial;0;1;1
16;CIÊNCIAS CONTÁBEIS;0.0;3.0;21;Presencial;Libras;1;1
17;PEDAGOGIA;0.0;2.0;23;Presencial;Libras;1;1
18;GEOGRAFIA;0.0;1.0;24;Presencial;Libras;1;1
19;HISTÓRIA;0.0;1.0;25;Presencial;Libras;1;1
20;MATEMÁTICA;0.0;2.0;26;Presencial;0;1;1
21;FÍSICA;0.0;1.0;27;Presencial;0;1;1
22;CIÊNCIAS BIOLÓGICAS;0.0;1.0;29;Presencial;0;1;1
23;CIÊNCIAS BIOLÓGICAS;0.0;1.0;32;Presencial;Libras;1;1
24;MATEMÁTICA;0.0;1.0;34;Presencial;0;1;1
25;CIÊNCIA DA COMPUTAÇÃO;0.0;3.0;36;Presencial;0;1;1
26;MEDICINA VETERINÁRIA;0.0;3.0;37;Presencial;Libras;1;1
27;ARQUITETURA E URBANISMO;0.0;2.0;44;Presencial;0;1;1
28;MATEMÁTICA;0.0;0.0;18354;Presencial;0;1;1
29;FARMÁCIA;0.0;2.0;21442;Presencial;Libras;1;1
30;LETRAS PORTUGUÊS E INGLÊS;0.0;1.0;22118;Presencial;Libras;1;1
31;LETRAS - LÍNGUA PORTUGUESA;0.0;1.0;22837;Presencial;Libras;1;1
32;LETRAS PORTUGUÊS E FRANCÊS;0.0;0.0;25902;Presencial;Libras;1;1
33;LETRAS - PORTUGUÊS E LITERATURAS;0.0;1.0;25903;Presencial;Libras;1;1
34;LETRAS - LÍNGUA PORTUGUESA;0.0;1.0;25949;Presencial;Libras;1;1
35;LETRAS PORTUGUÊS E ESPANHOL E RESPECTIVAS LITERATURAS;0.0;0.0;26025;Presencial;0;1;1
36;COMUNICAÇÃO SOCIAL  - RADIALISMO;0.0;1.0;31373;Presencial;Libras;1;1
37;BIBLIOTECONOMIA;0.0;0.0;41673;Presencial;Libras;1;1
38;INFORMÁTICA;0.0;0.0;41687;Presencial;0;1;1
39;CIÊNCIAS BIOLÓGICAS;0.0;3.0;41690;Presencial;Libras;1;1
40;ZOOTECNIA;0.0;1.0;62906;Presencial;Libras;1;1
41;JORNALISMO;0.0;0.0;62936;Presencial;Libras;1;1
42;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA;0.0;0.0;62940;Presencial;Libras;1;1
43;PSICOLOGIA;0.0;2.0;84854;Presencial;0;1;1
44;MÚSICA;0.0;2.0;94331;Presencial;0;1;1
45;MEDICINA VETERINÁRIA;0.0;1.0;100763;Presencial;Libras;1;1
46;ENGENHARIA FLORESTAL;0.0;0.0;100768;Presencial;0;1;1
